gender;age;birthplace;marital_status;education;profession;car;km_driven;city;class;C9;C1/a;C1/b;C1/c;C2/a;C2/b;C2/c;C3/a;C3/b;C3/c;C3/d;C4/a;C5/a;C5/b;C6/a
F;25;Milan;Widow;Master;Employee;NSEP;10000;Milan;1;447.31;424.94;455.39;470.90;;;;;;;;207.47;;772.00;
M;32;Milan;Widow;Master;Employee;NSEP;10000;Milan;1;378.23;359.33;388.43;406.92;;;;;;;;185.26;;706.00;
F;32;Milan;Widow;Master;Employee;NSEP;10000;Milan;1;361.33;343.27;371.88;391.09;;;;;;;;185.26;;706.00;
M;25;Naples;Widow;Master;Employee;NSEP;10000;Milan;1;604.64;574.40;581.80;605.38;;;;;;;;220.11;;831.00;
F;25;Naples;Widow;Master;Employee;NSEP;10000;Milan;1;584.77;574.40;581.80;605.38;;;;;;;;220.11;;831.00;
M;32;Naples;Widow;Master;Employee;NSEP;10000;Milan;1;731.07;694.51;647.91;661.18;;;;;;;;238.19;;832.00;
F;32;Naples;Widow;Master;Employee;NSEP;10000;Milan;1;435.37;413.59;443.90;459.95;;;;;;;;192.09;;757.00;
M;25;Morocco;Widow;Master;Employee;NSEP;10000;Milan;1;659.64;626.67;607.09;627.63;;;;;;;;251.32;;773.00;
F;25;Morocco;Widow;Master;Employee;NSEP;10000;Milan;1;659.64;626.67;607.09;627.63;;;;;;;;251.32;;773.00;
M;32;Morocco;Widow;Master;Employee;NSEP;10000;Milan;1;488.84;464.40;495.45;508.92;;;;;;;;237.42;;711.00;
F;32;Morocco;Widow;Master;Employee;NSEP;10000;Milan;1;488.84;464.40;495.45;508.92;;;;;;;;237.42;;711.00;
M;25;China;Widow;Master;Employee;NSEP;10000;Milan;1;442.94;420.79;451.18;466.92;;;;;;;;251.32;;773.00;
F;25;China;Widow;Master;Employee;NSEP;10000;Milan;1;442.94;420.79;451.18;466.92;;;;;;;;251.32;;773.00;
M;32;China;Widow;Master;Employee;NSEP;10000;Milan;1;486.38;462.06;493.09;506.67;;;;;;;;237.42;;711.00;
F;32;China;Widow;Master;Employee;NSEP;10000;Milan;1;486.38;462.06;493.09;506.67;;;;;;;;237.42;;711.00;
